"ProductId","Image Url","Video Url","Product Desc","Origin Price","Discount Price","Discount","Currency","Commission Rate","Commission","Sales180Day","Positive Feedback","Promotion Url","Code Name","Code Start Time","Code End Time","Code Value","Code Quantity","Code Minimum Spend"
"1005003884153390","https://ae04.alicdn.com/kf/Sc0858c6fb2ca4a909f5f9c6c7fdfef5aX.jpg",,"4pcs New Fashion Design Nose Double-Sided Tool Silicone Lip Scrub Exfoliator Brush","USD 3.99","USD 1.99","50%","USD","7","USD 0.14","219","97.0%","https://s.click.aliexpress.com/e/_DELtgu7",,,,,,
"1005003997737830","https://ae04.alicdn.com/kf/Sd5b0e7d57cad4cb69d801acbada141d8S.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/350704719436.mp4","MUF Makeup Brushes 29Pcs Foundation Powder Blush Contour Bronzer Eyeshadow Crease Eyelash Smudge Brush High Quality Makeup Tool","USD 5.70","USD 4.16","27%","USD","10.5","USD 0.44","63","100.0%","https://s.click.aliexpress.com/e/_DkjpjmF",,,,,,
"1005003830481407","https://ae04.alicdn.com/kf/Se51cf5e9fc67421cb076e2b8d6eae41eL.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100100732320.mp4","Universal Car Interior Visor Mirror Makeup Mirror Set with LED Lights Built-in Lithium Battery Touch Sensor Rechargeable","USD 7.36","USD 3.46","53%","USD","8.0","USD 0.28","91","95.5%","https://s.click.aliexpress.com/e/_DE6gnyR",,,,,,
"1005003907084097","https://ae04.alicdn.com/kf/S49d8e79208f343e0aae8510b89a5eacbi.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/348662579235.mp4","DUcare 8PCS Makeup Brushes Set with Bag Eye Shadow Foundation Powder Contour Make Up Brush Cosmetic Beauty Tool Kit","USD 15.98","USD 7.99","50%","USD","8.0","USD 0.64","136","97.8%","https://s.click.aliexpress.com/e/_DEI5AJ1",,,,,,
"1005001727860319","https://ae04.alicdn.com/kf/H5f63ea4af81a4fbfba7b202eb52d832d5.jpg",,"1000Pcs/Set Disposable Makeup Cotton Wipes Soft Makeup Remover Pads Ultrathin Facial Cleansing Paper Wipe Make Up Tool","USD 10.05","USD 6.43","36%","USD","7","USD 0.45","169","99.2%","https://s.click.aliexpress.com/e/_DnbNG8b",,,,,,
"1005004282289562","https://ae04.alicdn.com/kf/S5f5d548f5a5846a18a080b5d73e80ae5V.jpg",,"GUGCGV 1 Pair Thick False Eyelashes with Brush Set 3D Natural Slender Eyelashes Reusable Fluffy Eye Lashes Makeup for Party","USD 1.18","USD 0.88","25%","USD","8.0","USD 0.07","123","98.5%","https://s.click.aliexpress.com/e/_DCF9MmB",,,,,,
"1005003698055635","https://ae04.alicdn.com/kf/S051e72108fb44083b294301a52a0e1f81.jpg",,"FOCALLURE 6/10 Pcs Makeup Brushes Tool Set For Cosmetic Powder Eye Shadow Foundation Blush Blending Beauty Make Up Brush","USD 13.76","USD 6.88","50%","USD","7","USD 0.48","56","82.0%","https://s.click.aliexpress.com/e/_DBNZvsB",,,,,,
"4000518241253","https://ae04.alicdn.com/kf/He603bad8167f49be9609918a398b7af9Z.jpg",,"Chic Makeup Set 10 Colors Full Color Matte Eyeshadow Purple Matte Smoky Eye Shadow Palette Smooth Eye Shadow Waterproof","USD 5.96","USD 2.98","50%","USD","7","USD 0.21","67","100.0%","https://s.click.aliexpress.com/e/_Dd09HbN",,,,,,
"32847768789","https://ae04.alicdn.com/kf/HTB1A7Scd2Qs8KJjSZFEq6A9RpXaA.jpg",,"14 Hole Make up Brush Set Dry Rack Drying Brushes Shelf Multifunction Stand Display Cosmetic Clean Tool Wash Makeup Brush Holder","USD 6.82","USD 4.98","27%","USD","7","USD 0.35","86","84.0%","https://s.click.aliexpress.com/e/_DnEnLpp",,,,,,
"1005002612183822","https://ae04.alicdn.com/kf/Hc2463e257aa24845a7affc128758949dZ.png","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/284158450778.mp4","Styling Comb Set Portable Anti-static Hairdressing Hair Comb Hair Detangler Comb Makeup Barber Haircare Stylist Tool Set","USD 5.55","USD 3.88","30%","USD","15.5","USD 0.60","1533","96.1%","https://s.click.aliexpress.com/e/_Dkwbtht",,,,,,
"1005004874328500","https://ae04.alicdn.com/kf/S25fff7e9482f4cb58988b13a544d9bd3M.jpg",,"8 Pcs Mini Travel Portable Soft Makeup Brushes Set Eye Shadow Foundation Powder Eyelash Lip Concealer Blush Make Up Brush Set","USD 4.78","USD 3.35","30%","USD","7","USD 0.23","112","100.0%","https://s.click.aliexpress.com/e/_DmDLYd5",,,,,,
"1005004545903170","https://ae04.alicdn.com/kf/Sb864eb14872b4c129e1cd1133b6e3bdeQ.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100068482073.mp4","R.t Makeup Brush Blush Brush Foundation Brush Highlight Brush Professional Makeup Kit Makeup Set Box Makeup Brush Set Beauty","USD 5.04","USD 3.12","38%","USD","8.0","USD 0.25","2169","93.1%","https://s.click.aliexpress.com/e/_Dk91EGL",,,,,,
"4001129052545","https://ae04.alicdn.com/kf/Hc522ee7463fc48b38d00a75235f2e1dfe.jpg",,"BGVfive 12PCS/Set Cosmetic Puff Compressed Cleaning Sponge Facial Clean Washing Pad Remove Makeup Skin Care Tool","USD 0.56","USD 0.38","32%","USD","8.0","USD 0.03","319","98.4%","https://s.click.aliexpress.com/e/_DFzz4h9",,,,,,
"32968079436","https://ae04.alicdn.com/kf/H89b0d1fb4ac6428fb99d333d6d1cea6cm.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/224253596362.mp4","8pcs/set makeup eyebrow stencils professional beauty cosmetic tools grooming eyebrow drawing shaper Template kit AC067","USD 5.97","USD 2.98","50%","USD","10.5","USD 0.31","567","92.5%","https://s.click.aliexpress.com/e/_DlE14y3",,,,,,
"32920108410","https://ae04.alicdn.com/kf/HTB15Pg6wQZmBKNjSZPiq6xFNVXaL.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/247734923671.mp4","4pcs Makeup Brush Set Foundation Powder Blush Blusher Blending Concealer Contour Highligh Highlighter Face Beauty Make Up Tool","USD 4.99","USD 4.19","16%","USD","7","USD 0.29","127","98.7%","https://s.click.aliexpress.com/e/_De2nr4B",,,,,,
"1005001824839322","https://ae04.alicdn.com/kf/Hcedc55f1bc79439caf032b5d09c7949d2.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/299441817820.mp4","CHICHODO Violet 9pcs Makeup brushes Professional makeup brush set Eyelash Eyebrow Powder  Brush High quality cosmetologist brush","USD 22.00","USD 22.00","0%","USD","10.0","USD 2.20","130","96.9%","https://s.click.aliexpress.com/e/_DCNVE6X",,,,,,
"1005004914023098","https://ae04.alicdn.com/kf/S4d99443cb7c14bbf88c3be77d6f284dfk.png",,"3Pcs/set Cosmetics Brushes Eye Shadow Blending Smudge Brush Soft Eye Liner Lying Silkworm Brush Women Makeup Tools High Quality","USD 3.16","USD 2.21","30%","USD","10.5","USD 0.23","110","93.3%","https://s.click.aliexpress.com/e/_DEUWK9d",,,,,,
"32808991436","https://ae04.alicdn.com/kf/H1c8951f1d7f941dfb0a43a3264064589O.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/212049103057.mp4","ZOREYA Black Makeup Brushes Set Eye Face Cosmetic Foundation Powder Blush Eyeshadow Kabuki Blending Make up Brush Beauty Tool","USD 10.62","USD 4.99","53%","USD","8.0","USD 0.40","5513","95.2%","https://s.click.aliexpress.com/e/_De9F52x",,,,,,
"1005004590158027","https://ae04.alicdn.com/kf/S03a60f1415534be2be6fbfd00c49d1464.jpg",,"7Pcs/Set Makeup Sponge Set Face Beauty Cosmetic Powder Puff For Foundation Cream Concealer Make Up Tools","USD 4.54","USD 2.27","50%","USD","7","USD 0.16","298","97.9%","https://s.click.aliexpress.com/e/_DdZNBGX",,,,,,
"1005004875157827","https://ae04.alicdn.com/kf/Se1be6c97487b43c6bc3cecde31e4f72dm.jpg",,"Real Techniques Makeup Brushes Set For Cosmetic Foundation Powder Blush Eyeshadow Kabuki Blending Make Up Brush Beauty Tool 1895","USD 7.96","USD 3.58","55%","USD","10.0","USD 0.36","23","53.3%","https://s.click.aliexpress.com/e/_DEaE8TZ",,,,,,
